STOP_ID,STOP_FRISK_TIME,YEAR,MONTH,DAY,STOP_WAS_INITIATED,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,FIREARM_FLAG,WEAPON_FOUND_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_BORO_NAME
7344,17:00:00,2020,September,Wednesday,Based on Radio Run,0,FORCIBLE TOUCHING,4,Y,(null),N,Y,FORCIBLE TOUCHING,N,(null),Y,Y,N,(,(null),N,CALM,18,MALE,BLACK,5.1,200,MED,BRO,BLK,11203,BROOKLYN
7345,1:52:00,2020,September,Monday,Based on C/W on Scene,1,ASSAULT,4,Y,(null),Y,Y,ASSAULT,N,(null),Y,Y,N,N,(null),N,CALM,16,FEMALE,WHITE HISPANIC,5.5,135,THN,BLK,BLK,11220,BROOKLYN
7346,20:25:00,2020,September,Friday,Based on C/W on Scene,0,CPW,5,N,C/I IN,N,Y,CPW,N,(null),Y,Y,N,N,Y,Y,CALM,29,MALE,BLACK,5.9,160,MED,BRO,BLK,10029,MANHATTAN
7347,2:20:00,2020,September,Tuesday,Based on Radio Run,1,ROBBERY,1,N,NOT EN,N,Y,ROBBERY,N,(null),Y,Y,N,N,(null),N,,23,MALE,BLACK HISPANIC,5.8,165,THN,BRO,BLK,10040,MANHATTAN
7348,1:00:00,2020,October,Thursday,Based on Self Initiated,1,GRAND LARCENY AUTO,15,Y,(null),Y,N,(null),N,(null),N,N,N,N,(null),N,CALM,35,MALE,WHITE HISPANIC, ,200,MED,BRO,BLK,11234,BROOKLYN
7349,1:00:00,2020,October,Thursday,Based on Self Initiated,1,GRAND LARCENY AUTO,15,Y,(null),Y,N,(null),N,(null),N,N,N,N,(null),N,CALM,30,FEMALE,WHITE HISPANIC,5.8,140,MED,BRO,BLK,11234,BROOKLYN
7350,1:00:00,2020,October,Thursday,Based on Self Initiated,1,GRAND LARCENY AUTO,15,Y,(null),Y,N,(null),N,(null),N,N,N,N,(null),N,CALM,30,MALE,WHITE HISPANIC, ,180,MED,BRO,ZZZ,11234,BROOKLYN
7351,10:35:00,2020,September,Wednesday,Based on C/W on Scene,0,CRIMINAL MISCHIEF,35,Y,(null),N,Y,CRIMINAL MISCHIEF,N,(null),Y,Y,N,N,(null),N,CALM,24,MALE,BLACK,5.8,160,MED,BRO,BLK,10002,MANHATTAN
7352,13:33:00,2020,September,Saturday,Based on Radio Run,1,ASSAULT,21,Y,(null),N,N,(null),N,(null),N,N,(,(,(null),N,DISORDERDLY AND BELLIGERENT,18,FEMALE,BLACK,5.3,125,THN,ZZZ,ZZZ,10017,MANHATTAN
7353,19:15:00,2020,September,Saturday,Based on Radio Run,1,CPW,2,Y,(null),N,N,(null),N,(null),Y,N,N,N,(null),N,CALM & UNDERSTANDING,19,MALE,BLACK,5.9,150,THN,BLK,BLK,10035,MANHATTAN
